"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"2478","0","[600,670)","[700,750)","[650, Inf)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,27
"2480","0","[600,670)","[750,820)","[-Inf,550)",300,"[0.5,1)","[228,347)","[131,242)",30,75,27
"2481","1","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[228,347)","[242,299)",0,25,27
"2482","0","[600,670)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",0,40,27
"2484","1","[600,670)","[700,750)","[650, Inf)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,27
"2486","0","[600,670)","[700,750)","[550,642)",300,"[0.5,1)","[141,228)","[242,299)",263,146,27
"2487","0","[600,670)","[820, Inf)","[550,642)",400,"[0,0.5)","[141,228)","[131,242)",0,36,27
"2491","0","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",25,25,27
"2494","0","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[228,347)","[299, Inf)",0,25,27
"2495","0","[670, Inf)","[750,820)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",0,30,27
"2499","0","[670, Inf)","[820, Inf)","[550,642)",475,"[0.5,1)","[347, Inf)","[299, Inf)",387,451,27
"2500","0","[670, Inf)","[820, Inf)","[650, Inf)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,7,27
"2501","0","[600,670)","[750,820)","[550,642)",350,"[0.5,1)","[228,347)","[242,299)",0,25,27
"2504","0","[600,670)","[700,750)","[550,642)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,38,27
"2507","0","[670, Inf)","[820, Inf)","[550,642)",425,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,14,27
"2508","0","[600,670)","[820, Inf)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",0,50,27
"2511","1","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,95,27
"2513","0","[600,670)","[750,820)","[-Inf,550)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,86,27
"2515","0","[600,670)","[700,750)","[-Inf,550)",500,"[0.5,1)","[347, Inf)","[299, Inf)",0,25,26
"2521","0","[600,670)","[750,820)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,115,26
"2524","0","[670, Inf)","[750,820)","[650, Inf)",400,"[0.5,1)","[228,347)","[131,242)",0,50,26
"2526","0","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[-Inf,141)","[242,299)",237,22,26
"2527","0","[670, Inf)","[750,820)","[550,642)",325,"[0.5,1)","[228,347)","[242,299)",46,35,26
"2528","0","[670, Inf)","[820, Inf)","[550,642)",300,"[0.5,1)","[141,228)","[131,242)",0,50,26
"2531","0","[600,670)","[700,750)","[550,642)",450,"[0.5,1)","[347, Inf)","[299, Inf)",47,50,26
"2533","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,25,26
"2541","0","[600,670)","[700,750)","[650, Inf)",300,"[0.5,1)","[228,347)","[242,299)",39,30,26
"2544","0","[600,670)","[820, Inf)","[-Inf,550)",250,"[0,0.5)","[141,228)","[-Inf,131)",0,40,26
"2545","0","[670, Inf)","[820, Inf)","[550,642)",350,"[0,0.5)","[228,347)","[131,242)",75,150,26
"2546","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",0,111,26
"2548","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",7,84,26
"2552","0","[600,670)","[700,750)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",8,25,26
"2553","0","[600,670)","[-Inf,700)","[550,642)",350,"[0.5,1)","[347, Inf)","[242,299)",0,120,26
"2554","0","[670, Inf)","[750,820)","[550,642)",450,"[0,0.5)","[228,347)","[131,242)",52,100,26
"2555","0","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",12,30,26
"2558","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",0,25,26
"2559","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[228,347)","[299, Inf)",8,25,26
"2561","0","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",0,42,26
"2563","0","[670, Inf)","[820, Inf)","[550,642)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,59,26
"2564","0","[600,670)","[750,820)","[650, Inf)",300,"[0.5,1)","[228,347)","[242,299)",32,50,26
"2566","0","[670, Inf)","[820, Inf)","[650, Inf)",350,"[0.5,1)","[347, Inf)","[131,242)",134,300,26
"2569","0","[600,670)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",0,30,26
"2571","1","[600,670)","[700,750)","[550,642)",600,"[0.5,1)","[347, Inf)","[299, Inf)",38,35,26
"2572","0","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",2,25,26
"2573","0","[600,670)","[750,820)","[550,642)",200,"[0.5,1)","[228,347)","[131,242)",0,118,26
"2574","0","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[141,228)","[242,299)",39,26,26
"2576","1","[-Inf,600)","[-Inf,700)","[550,642)",300,"[1, Inf)","[347, Inf)","[299, Inf)",0,125,26
"2580","0","[600,670)","[-Inf,700)","[-Inf,550)",300,"[1, Inf)","[347, Inf)","[299, Inf)",0,100,26
"2581","0","[600,670)","[820, Inf)","[642,650)",300,"[0.5,1)","[141,228)","[131,242)",12,40,26
"2583","0","[670, Inf)","[820, Inf)","[550,642)",400,"[0,0.5)","[-Inf,141)","[131,242)",183,7,26
"2596","1","[600,670)","[700,750)","[-Inf,550)",300,"[0.5,1)","[228,347)","[242,299)",13,25,26
"2599","0","[670, Inf)","[750,820)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",55,100,26
"2600","0","[600,670)","[700,750)","[650, Inf)",250,"[0.5,1)","[228,347)","[131,242)",0,60,26
"2603","0","[600,670)","[820, Inf)","[650, Inf)",600,"[0.5,1)","[347, Inf)","[299, Inf)",40,145,26
"2604","0","[670, Inf)","[750,820)","[650, Inf)",250,"[0.5,1)","[141,228)","[131,242)",0,50,26
"2605","0","[600,670)","[700,750)","[550,642)",450,"[0.5,1)","[347, Inf)","[299, Inf)",0,27,26
"2609","0","[670, Inf)","[700,750)","[550,642)",325,"[0,0.5)","[-Inf,141)","[-Inf,131)",203,259,26
"2614","0","[670, Inf)","[700,750)","[642,650)",300,"[0.5,1)","[228,347)","[131,242)",0,80,26
"2615","0","[670, Inf)","[820, Inf)","[550,642)",400,"[0.5,1)","[228,347)","[242,299)",0,25,26
"2616","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,50,26
"2617","0","[600,670)","[750,820)","[650, Inf)",300,"[0.5,1)","[228,347)","[131,242)",0,57,26
"2619","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",0,75,26
"2620","0","[600,670)","[700,750)","[-Inf,550)",325,"[1, Inf)","[347, Inf)","[299, Inf)",0,50,26
"2621","0","[600,670)","[750,820)","[-Inf,550)",275,"[0.5,1)","[228,347)","[242,299)",5,25,26
"2623","0","[600,670)","[700,750)","[-Inf,550)",400,"[0.5,1)","[347, Inf)","[299, Inf)",0,50,26
"2625","0","[670, Inf)","[750,820)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",47,24,26
"2626","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[141,228)","[131,242)",7,40,26
"2627","0","[600,670)","[700,750)","[650, Inf)",350,"[0.5,1)","[347, Inf)","[299, Inf)",16,100,26
"2628","0","[670, Inf)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",88,100,25
"2633","0","[600,670)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",0,50,25
"2634","0","[600,670)","[-Inf,700)","[550,642)",300,"[1, Inf)","[228,347)","[299, Inf)",85,25,25
"2635","0","[600,670)","[-Inf,700)","[-Inf,550)",300,"[1, Inf)","[347, Inf)","[299, Inf)",0,25,25
"2637","0","[600,670)","[750,820)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",0,25,25
"2638","0","[670, Inf)","[820, Inf)","[650, Inf)",475,"[0,0.5)","[-Inf,141)","[131,242)",108,0,25
"2640","0","[600,670)","[700,750)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",0,138,25
"2642","0","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,55,25
"2644","0","[670, Inf)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",55,35,25
"2649","0","[670, Inf)","[820, Inf)","[650, Inf)",400,"[0,0.5)","[228,347)","[131,242)",1,100,25
"2653","0","[600,670)","[750,820)","[650, Inf)",350,"[0,0.5)","[-Inf,141)","[-Inf,131)",0,25,25
"2654","0","[670, Inf)","[820, Inf)","[642,650)",350,"[0,0.5)","[141,228)","[131,242)",0,40,25
"2655","0","[600,670)","[820, Inf)","[-Inf,550)",300,"[0,0.5)","[-Inf,141)","[-Inf,131)",30,55,25
"2656","0","[670, Inf)","[750,820)","[-Inf,550)",350,"[0,0.5)","[-Inf,141)","[131,242)",65,30,25
"2658","1","[670, Inf)","[820, Inf)","[-Inf,550)",250,"[0.5,1)","[141,228)","[131,242)",39,110,25
"2662","0","[600,670)","[700,750)","[650, Inf)",350,"[0.5,1)","[228,347)","[131,242)",0,142,25
