DebtDimId,Months_On_Book,Credit_Limit,Opening_Balance,Ending_Balance,Over_limit_Amount,Actual_Min_Pay_Due,Total_Min_Pay_Due,Net_Payments_During_Cycle,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Net_Premier_Fees_Billed_During_C,Net_Behavior_Fees_Billed_During,Net_Concessions_Billed_During_Cy,Quarterly_Fico_Score,Behavior_Score,Good_Customer_Score,Utility,Bad
2803824,114,450,430,462,12,20,32,50,69,0,5,7,0,596,644,771,1.026866667,0
2843470,113,500,136,194,0,20,20,25,74,0,6,3,0,701,689,901,0.38756,0
2845973,109,400,353,274,0,20,20,90,0,0,6,5,0,694,661,757,0.6855,0
2846017,113,750,7,-3,0,0,0,12,0,0,3,0,0,726,679,,-0.003333333,0
2854422,96,400,298,438,38,20,58,30,89,0,75,6,0,670,662,682,1.093775,0
2906895,112,500,330,281,0,20,20,100,43,0,3,6,0,504,691,813,0.56294,0
2939677,112,550,511,6,0,6,6,511,0,0,6,0,0,627,692,993,0.010909091,0
2957830,112,450,19,66,0,20,20,175,216,0,6,0,0,670,686,949,0.147577778,0
2987195,111,700,679,676,0,21,21,30,10,0,5,11,0,630,671,735,0.965557143,0
2990508,111,550,395,523,0,20,20,25,139,0,6,8,0,559,667,,0.950672727,0
3001784,111,450,1,1,0,1,1,5,0,0,5,0,0,731,706,944,0.0026,0
3005255,111,725,429,638,0,20,20,25,221,0,6,8,0,619,680,,0.879737931,0
3023180,111,550,534,514,0,20,20,35,0,0,3,12,0,587,680,708,0.9338,0
3030092,111,350,247,234,0,20,20,31,0,0,14,4,0,609,669,798,0.668685714,0
3038861,111,450,-8,-5,0,0,0,0,0,0,3,0,0,766,666,986,-0.010288889,0
3043266,111,350,212,277,0,20,20,350,407,0,6,2,0,630,670,715,0.791371429,1
3077899,110,700,81,132,0,20,20,125,170,0,6,0,0,709,696,942,0.187957143,0
3101028,110,450,304,203,0,20,20,110,0,0,5,4,0,639,670,893,0.451644444,0
3123893,110,550,514,495,0,20,20,50,17,0,5,8,0,683,687,738,0.899218182,0
3130190,110,450,5,5,0,5,5,5,0,0,5,0,0,680,688,994,0.011,0
3130725,105,550,399,371,0,25,25,42,0,0,5,9,0,692,694,803,0.674145455,0
3132556,110,300,339,243,0,20,20,250,123,0,56,-26,0,499,677,711,0.8101,0
3167721,106,400,228,283,0,20,20,60,106,0,5,4,0,590,642,775,0.707675,0
3170696,101,350,326,331,0,20,20,40,33,0,6,6,0,585,668,715,0.947028571,0
3221733,109,400,399,368,0,20,20,40,0,0,3,7,0,592,680,711,0.9204,0
3253861,109,450,340,350,0,20,20,61,0,45,14,12,0,646,680,758,0.7768,0
3263537,109,450,228,114,0,20,20,228,62,0,51,1,0,643,701,944,0.252755556,0
3264145,109,350,416,277,0,20,20,150,0,0,5,6,0,524,630,729,0.790314286,0
3274467,97,400,56,6,0,6,6,67,0,0,17,0,0,651,687,,0.015,0
3403748,107,250,229,213,0,20,20,26,0,0,6,4,0,543,628,737,0.851,1
3406604,108,950,389,284,0,20,20,200,33,0,56,7,0,618,695,889,0.299178947,0
3419798,108,500,452,445,0,20,20,20,0,0,5,8,0,700,662,737,0.8891,1
3450949,107,350,228,211,0,20,20,25,0,0,5,4,0,654,688,824,0.604085714,0
3512279,107,750,746,733,0,22,22,30,0,0,5,12,0,473,664,700,0.977626667,0
3526205,107,400,6,6,0,6,6,6,0,0,6,0,0,703,689,1000,0.015,0
3586441,106,350,23,8,0,8,8,20,0,0,5,1,0,551,692,991,0.024142857,0
3639930,97,350,255,304,0,20,20,35,23,0,56,5,0,697,690,752,0.867342857,0
3653692,106,400,365,387,0,20,20,20,27,0,6,8,0,704,657,718,0.96625,0
3659143,106,250,285,234,0,20,20,60,0,0,5,4,0,618,606,710,0.93756,0
3697826,106,400,366,374,0,25,25,25,18,0,6,9,0,624,660,743,0.935425,0
3734296,106,250,232,211,0,20,20,30,0,0,5,4,0,501,673,748,0.84208,0
3813236,105,350,19,6,0,6,6,19,0,0,6,0,0,662,654,976,0.017142857,0
3844958,105,550,165,92,0,25,25,80,0,0,5,2,0,538,702,776,0.167327273,0
3872803,104,250,12,6,0,6,6,12,0,0,6,0,0,605,692,996,0.024,0
3895448,105,350,299,323,0,20,20,25,40,0,3,6,0,585,672,728,0.922314286,0
3899303,94,350,289,261,0,20,20,50,10,0,6,5,0,735,697,784,0.744428571,0
3938498,104,250,217,206,0,25,25,30,10,0,5,4,0,568,659,740,0.82264,0
3945636,104,350,269,177,0,25,25,100,0,0,5,3,0,684,685,861,0.505828571,0
4028826,97,350,312,293,0,20,20,30,0,0,6,5,0,662,682,734,0.837857143,0
4031925,103,350,355,306,0,20,20,65,5,0,6,5,0,633,651,699,0.873571429,0
4031943,92,825,781,759,0,23,23,40,0,0,6,13,0,521,678,730,0.920569697,1
4056898,104,550,205,107,0,20,20,105,0,0,5,2,0,484,674,929,0.1952,0
4070414,104,450,418,417,0,20,20,20,7,0,5,7,0,549,664,735,0.925555556,0
4089179,103,350,310,290,0,20,20,51,20,0,5,5,0,627,681,764,0.827171429,0
4105988,103,400,296,5,0,5,5,374,79,0,5,0,0,738,710,972,0.012375,0
4126371,103,400,128,228,0,20,20,130,225,0,5,0,0,667,688,937,0.57065,0
4128038,103,350,317,290,0,20,20,300,264,0,5,4,0,680,685,,0.827628571,0
4128623,103,850,496,380,0,20,20,150,20,0,5,10,0,671,706,776,0.447635294,0
4165886,103,750,767,772,22,24,46,40,0,23,5,18,0,613,635,674,1.02964,0
4182135,103,350,301,291,0,20,20,20,0,0,5,5,0,685,673,758,0.830742857,0
4212219,103,550,486,475,0,20,20,50,27,0,5,8,0,591,676,720,0.864418182,0
4219466,102,450,437,481,31,20,51,25,54,0,5,10,0,476,632,675,1.069133333,1
4231532,102,400,442,389,0,20,20,85,19,0,6,7,0,557,636,699,0.97155,0
4249900,102,450,112,55,0,20,20,219,157,0,5,0,0,701,699,1000,0.1222,0
4263464,102,400,418,391,0,20,20,40,0,0,6,7,0,523,649,709,0.977325,0
4266671,102,450,409,397,0,20,20,25,0,0,6,7,0,636,680,742,0.881511111,0
4267564,102,500,448,462,0,20,20,20,25,0,0,9,0,564,664,732,0.92414,0
4268559,101,950,874,772,0,24,24,102,0,0,6,14,20,711,658,749,0.812263158,0
4270665,101,250,0,205,0,20,20,51,0,0,17,4,0,668,662,,0.8206,1
4290613,102,350,286,365,15,20,35,40,0,103,6,10,0,656,661,704,1.043371429,0
4294472,102,450,444,462,12,20,32,20,20,0,10,8,0,535,643,691,1.026777778,0
4295705,102,500,10,30,0,20,20,10,25,0,5,0,0,759,650,796,0.0599,0
4330602,102,400,359,268,0,20,20,150,47,0,6,7,0,644,695,791,0.670625,0
4378939,101,400,374,281,0,20,20,155,50,0,6,7,0,695,684,790,0.70365,0
4400932,99,350,369,346,0,25,25,50,15,0,6,6,0,457,640,691,0.989628571,0
4407708,90,375,326,317,0,20,20,20,0,0,6,5,0,592,670,834,0.845653333,0
4416375,101,500,418,424,0,20,20,25,18,0,6,7,0,668,678,707,0.8479,0
4429487,101,400,6,-6,0,0,0,18,0,0,6,0,0,708,713,990,-0.015,0
