DebtDimId,Months_On_Book,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Utility,Closed
2592386,115,0,0,0.432916667,0
2596158,116,0,0,0.91484,0
2609075,105,0,0,0.935866667,0
2645514,115,84,0,0.37048,0
2660954,115,0,0,0.819953846,0
2680887,113,0,0,0.788745455,0
2687378,96,0,0,0.008888889,1
2692324,115,0,0,0.005490909,0
2698554,115,570,0,1.021184615,0
2729994,89,24,0,0.92736,0
2732546,114,0,0,0.962266667,0
2744494,114,0,0,0.923333333,0
2748240,114,90,0,0.950218182,0
2773115,114,10,0,0.983890909,0
2783988,114,152,0,0.709977778,0
2803824,114,69,0,1.026866667,0
2843470,113,74,0,0.38756,0
2845973,109,0,0,0.6855,0
2846017,113,0,0,-0.003333333,0
2854422,96,89,0,1.093775,0
2906895,112,43,0,0.56294,0
2939677,112,0,0,0.010909091,1
2957830,112,216,0,0.147577778,0
2987195,111,10,0,,0
2990508,111,139,0,0.950672727,0
3001784,111,0,0,0.0026,0
3005255,111,221,0,0.879737931,0
3023180,111,0,0,0.9338,0
3030092,111,0,0,0.668685714,0
3038861,111,0,0,-0.010288889,0
3043266,111,407,0,0.791371429,0
3077899,110,170,0,0.187957143,0
3101028,110,0,0,0.451644444,0
3123893,110,17,0,0.899218182,0
3130190,110,0,0,0.011,0
3130725,105,0,0,0.674145455,0
3132556,110,123,0,0.8101,0
3167721,106,106,0,0.707675,0
3170696,101,33,0,0.947028571,0
3221733,109,0,0,0.9204,0
3253861,109,0,45,0.7768,0
3263537,109,62,0,0.252755556,0
3264145,109,0,0,0.790314286,0
3274467,97,0,0,0.015,0
3403748,107,0,0,0.851,0
3406604,NULL,33,0,0.299178947,0
3419798,108,0,0,0.8891,0
3450949,107,0,0,0.604085714,0
3512279,107,0,0,0.977626667,0
3526205,107,0,0,0.015,0
3586441,106,0,0,0.024142857,0
3639930,97,23,0,0.867342857,0
3653692,106,27,0,0.96625,0
3659143,106,0,0,0.93756,0
3697826,106,18,0,0.935425,0
3734296,106,0,0,0.84208,0
3813236,105,0,0,0.017142857,0
3844958,105,0,0,0.167327273,0
3872803,104,0,0,0.024,0
3895448,105,40,0,0.922314286,0
3899303,94,10,0,0.744428571,0
3938498,104,10,0,0.82264,0
3945636,104,0,0,0.505828571,0
4028826,97,0,0,0.837857143,0
4031925,103,5,0,0.873571429,0
4031943,92,0,0,0.920569697,0
4056898,104,0,0,0.1952,0
4070414,104,7,0,0.925555556,0
4089179,103,20,0,0.827171429,0
4105988,103,79,0,0.012375,0
4126371,103,225,0,0.57065,0
4128038,103,264,0,0.827628571,0
4128623,103,20,0,0.447635294,0
4165886,103,0,23,1.02964,0
4182135,103,0,0,0.830742857,0
4212219,103,27,0,0.864418182,0
4219466,102,54,0,1.069133333,0
4231532,102,19,0,0.97155,0
4249900,102,157,0,0.1222,0
4263464,102,0,0,0.977325,0
4266671,102,0,0,0.881511111,0
4267564,102,25,0,0.92414,0
4268559,101,0,0,0.812263158,0
4270665,101,0,0,0.8206,0
4290613,102,0,103,1.043371429,0
4294472,102,20,0,1.026777778,0
4295705,102,25,0,0.0599,0
4330602,102,47,0,0.670625,0
4378939,101,50,0,0.70365,0
4400932,99,15,0,0.989628571,0
4407708,90,0,0,0.845653333,0
4416375,101,18,0,0.8479,0
4429487,101,0,0,-0.015,0
4441398,98,0,0,0.952828571,0
4452726,101,0,0,0.74678,0
4482417,101,184,0,1.0084,0
4490817,101,37,0,1.001983333,0
4493032,96,17,0,0.93744,0
