"","Bad","Behavior_Score_Bins","Good_Customer_Score_Bins","Quarterly_Fico_Score_Bins","Credit_Limit","Utility_Bins","Opening_Balance_Bins","Ending_Balance_Bins","Net_Purchases_During_Cycle","Net_Payments_During_Cycle","Months_On_Book"
"4138","0","[600,670)","[700,750)","[550,642)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,100,13
"4139","0","[600,670)","[820, Inf)","[550,642)",250,"[0,0.5)","[-Inf,141)","[-Inf,131)",137,225,13
"4140","0","[670, Inf)","[700,750)","[642,650)",400,"[0.5,1)","[347, Inf)","[299, Inf)",32,75,13
"4142","1","[600,670)","[700,750)","[-Inf,550)",350,"[0.5,1)","[347, Inf)","[299, Inf)",0,75,13
"4144","0","[600,670)","[700,750)","[550,642)",300,"[0.5,1)","[228,347)","[242,299)",20,49,13
"4145","1","[600,670)","[-Inf,700)","[550,642)",250,"[1, Inf)","[228,347)","[242,299)",36,70,13
"4146","0","[600,670)","[820, Inf)","[650, Inf)",300,"[0,0.5)","[141,228)","[131,242)",0,25,13
"4149","0","[670, Inf)","[820, Inf)","[650, Inf)",750,"[0,0.5)","[-Inf,141)","[-Inf,131)",90,123,13
"4151","0","[600,670)","[750,820)","[550,642)",250,"[0.5,1)","[228,347)","[131,242)",0,100,13
"4152","0","[-Inf,600)","[750,820)","[-Inf,550)",250,"[0.5,1)","[228,347)","[131,242)",0,76,13
"4153","0","[600,670)","[750,820)","[550,642)",275,"[0.5,1)","[228,347)","[242,299)",13,61,13
"4154","0","[600,670)","[700,750)","[650, Inf)",300,"[0.5,1)","[141,228)","[242,299)",58,25,13
"4155","0","[600,670)","[-Inf,700)","[-Inf,550)",300,"[1, Inf)","[347, Inf)","[299, Inf)",20,180,13
